name,season,team,player,score,position,age,goals,period,order,last
,,,Enock Mwepu,x,mf,23,2,1,4,1
,,Leicester vs Liverpool,Youri Tielemans,o,mf,24,27,4,1,0
,,,James Milner,o,mf,35,46,7,1,0
,,,James Maddison,o,mf,25,53,4,2,0
,,,Roberto Firmino,o,fw,30,129,7,2,0
,,,Marc Albrighton,o,df,32,21,8,3,0
,,,Alex Oxlade-Chamberlain,o,mf,28,29,5,3,0
,,,Luke Thomas,x,df,20,2,3,4,0
,,,Naby Keita,o,mf,26,26,4,4,0
,,,Kelchi Iheanacho,o,fw,25,43,5,5,0
,,,Takumi Minamino,x,fw,26,14,3,5,0
,,,Ryan Bertrand,x,df,32,7,1,6,1
,,,Diogo Jota,o,fw,25,85,2,6,1
,2022-2023,Morecambe vs Stoke,Dylan Connolly,o,fw,27,3,1,1,0
,,,Morgan Fox,x,df,29,4,2,1,0
,,,Jonathan Obika,o,fw,32,7,1,2,0
,,,Will Smallbone,o,mf,22,0,1,2,0
,,,Caleb Watts,o,mf,20,0,1,3,0
,,,Sam Clucas,o,mf,32,30,4,3,0
,,,Donald Love,o,mf,28,0,1,4,0
,,,Jordan Thompson,o,mf,25,2,4,4,0
,,,Shane McLoughlin,o,df,25,3,2,5,1
,,Barrow vs Blackpool,John Rooney,o,mf,32,5,2,1,0
,,,Callum connolly,x,mf,25,15,2,1,0
,,,Josh Kay,o,mf,25,14,3,2,0
,,,James Husband,o,df,28,2,4,2,0
,,,Billy Waters,o,fw,28,9,1,3,0
,,,Beryly Lubala,o,fw,24,1,2,3,0
,,,Patrick Brough,o,df,26,6,3,4,0
,,,Shayne Lavery,o,fw,24,15,2,4,0
,,,Harrison Neal,x,mf,21,0,1,5,1
,,,Lewis Fiorini ,x,mf,20,7,1,5,1
,,Tranmere vs Accrington,Kane Hemmings,o,fw,31,35,2,1,0
,,,Sean McConville,o,mf,33,10,3,1,0
,,,Josh Hawkes,o,fw,23,18,2,2,0
,,,Shaun Whalley,o,mf,35,15,1,2,0
,,,Rhys Hughes,x,mf,21,1,1,3,0
,,,Joe Pritchard,x,mf,26,9,3,3,0
,,,Paul Lewis,o,mf,28,14,2,4,0
,,,Ryan Astley,o,df,21,2,1,4,0
,,,Luke Robinson,o,df,21,0,1,5,0
,,,Harry Pell,o,mf,31,14,2,5,0
,,,Reece McAlear,o,df,20,0,1,6,0
,,,Mitchell Clark,o,df,23,2,2,6,0
,,,Neill Byrne,o,df,29,1,1,7,0
,,,Josh Woods,o,fw,22,1,2,7,0
,,,Josh Dacres-Cogley,o,df,26,2,2,8,0
,,,Liam Coyle,o,mf,23,2,2,8,0
,,,Ethan Bristow,o,df,21,1,1,9,0
,,,Mahammed Sangare,o,df,24,0,2,9,0
,,,Joel Mumbongo,o,mf,23,2,2,10,0
,,,Harvey Rodgers,o,df,26,4,3,10,0
,,,Mateusz Hewelt,o,gk,26,0,1,11,0
,,,Lukas Jensen,o,gk,23,0,1,11,0
,,,Kane Hemmings,o,fw,31,35,2,12,0
,,,Sean McConville,o,mf,33,10,3,12,0
,,,Josh Hawkes,o,fw,23,18,2,13,1
,,,Shaun Whalley,x,mf,35,15,1,13,1
,,Charlton vs QPR,Jayden Stockley,o,mf,29,35,3,1,0
,,,Stefan Johansen,x,mf,31,31,3,1,0
,,,Charlie Kirk,o,mf,25,11,2,2,0
,,,Tyler Roberts,o,mf,23,12,1,2,0
,,,Albie Morgan ,o,mf,22,5,4,3,0
,,,Olamide Shodipo,o,fw,25,14,4,3,0
,,,Aaron Henry,o,mf,19,1,1,4,0
,,,Andre Dozzell,o,mf,23,2,2,4,0
,,,Eoghan O'Connell,o,df,27,3,1,5,1
,,Oxford vs Swansea,Marcus Browne,o,fw,25,12,3,1,0
,,,Liam Cullen,o,fw,23,12,4,1,0
,,,Gorrin,o,mf,29,2,4,2,0
,,,Olivier Ntcham,o,mf,26,18,2,2,0
,,,Marcus McGuane,o,mf,23,0,3,3,0
,,,Joe Allen,o,mf,32,28,2,3,0
,,,Slavi Spasov,o,fw,21,0,1,4,0
,,,Matthew Sorinola,x,mf,21,5,1,4,0
,,,Cameron Brannagan,o,mf,26,30,4,5,1
,,Norwich vs Birmingham,Kenny McLean,x,mf,30,9,5,1,0
,,,Sam Cosgrove,x,fw,26,6,2,1,0
,,,Liam Gibbs,o,mf,20,1,1,2,0
,,,Jordan Graham,o,mf,27,13,2,2,0
,,,Danel Sinani,o,fw,25,26,1,3,0
,,,Jonathan Leko,x,fw,23,8,3,3,0
,,,Marcelino Nunez,o,mf,22,3,1,4,0
,,,Jordan James,o,mf,18,1,2,4,0
,,,Josh Sargent,o,fw,22,30,2,5,1
,,Exeter vs Gillingham,Jevani Brown,o,fw,28,26,2,1,0
,,,Olly Lee,o,mf,31,7,3,1,0
,,,Sonny Cox,o,mf,18,1,1,2,0
,,,Mikael Mandron,o,fw,28,20,1,2,0
,,,Jake Caprice,o,mf,30,2,3,3,0
,,,Will Wright,o,df,25,1,1,3,0
,,,Archie Collins,o,mf,23,10,4,4,0
,,,Ben Reeves,o,mf,31,5,2,4,0
,,,Josh Coley,o,fw,24,1,2,5,0
,,,Hakeeb Adelakun,o,fw,26,5,1,5,0
,,,Joshua Key,x,mf,23,7,3,6,1
,,,David Tutonda,o,mf,27,1,2,6,1
,,Barrow vs Lincoln City,Ben Whitfield,o,fw,26,6,1,1,0
,,,Anthony Scully,o,fw,23,25,3,1,0
,,,Josh Gordon,x,fw,28,26,2,2,0
,,,Max Sanders,o,mf,23,2,3,2,0
,,,Patrick Brough,x,df,26,6,3,3,0
,,,Tashan Oakley-Boothe,o,mf,22,0,1,3,0
,,,Robbie Gotts,x,mf,23,6,2,4,1
,,Leicester vs Stockport County,Youri Tielemans,o,mf,25,30,5,1,0
,,,Antoni Sarcevic,x,mf,30,14,1,1,0
,,,James Maddison,x,mf,26,63,5,2,0
,,,Scott Quigley,x,fw,30,15,1,2,0
,,,Harvey Barnes,o,mf,25,54,7,3,0
,,,Ryan Croasdale,o,mf,28,1,1,3,0
,,,Ayoze Perez,x,mf,29,55,4,4,0
,,,Kyle Wootton,x,mf,26,14,1,4,0
,,,Kieran Dewsbury-Hall,o,mf,24,11,2,5,1
,,Bournemouth vs Norwich,Emiliano Marcondes,o,mf,27,7,2,1,0
,,,Teemu Pukki,o,fw,32,109,5,1,0
,,,Lewis Cook,o,mf,25,3,7,2,0
,,,Todd Cantwell,x,mf,24,19,5,2,0
,,,Jaidon Anthony,o,mf,23,12,3,3,0
,,,Liam Gibbs,o,mf,20,1,1,3,0
,,,Christian Saydee,o,fw,20,8,2,4,0
,,,Adam Idah,o,fw,21,6,4,4,0
,,,Ryan Christie,o,mf,27,14,2,5,1
,,Stevenage vs Charlton ,Danny Rose,o,fw,29,11,1,1,0
,,,Sean Clare,o,df,26,4,2,1,0
,,,Dean Campbell,o,df,21,0,1,2,0
,,,Jake Forster-Caskey,o,mf,28,11,4,2,0
,,,Dan Sweeney,o,df,28,5,1,3,0
,,,Jesurun Rak-Sakyi,o,mf,20,15,1,3,0
,,,Michael Bostwick,o,df,34,2,2,4,0
,,,Chuks Aneke,o,fw,29,23,4,4,0
,,,Jake Taylor,x,mf,31,13,2,5,0
,,,Scott Fraser,o,mf,27,24,1,5,1
,,Gillingham vs Brentford,Mikael Mandron,o,fw,28,20,1,1,1
,,,Ivan Toney,o,fw,26,66,3,1,0
,,,Hakeeb Adelakun,o,mf,26,5,1,2,0
,,,Saman Ghoddos,o,mf,29,29,3,2,0
,,,Will Wright,o,df,25,1,1,3,0
,,,Josh Dasilva,o,fw,24,20,5,3,0
,,,Cheye Alexander,o,df,27,3,2,4,0
,,,Bryan Mbeumo,o,mf,23,38,4,4,0
,,,Scott KashKet,o,mf,26,11,1,5,0
,,,Mathias Jensen,o,mf,26,9,4,5,0
,,,Alexander MacDonald,o,mf,32,4,3,6,1
,,,Mikkel Damsgaard,x,mf,22,6,1,6,1
,,Newcastle vs Crystal Palace,Chris Wood,o,fw,31,99,2,1,0
,,,Luka Milivojevic,x,mf,31,29,7,1,0
,,,Kieran Trippier,o,df,32,8,2,2,0
,,,Will Hughes,o,mf,27,16,2,2,0
,,,Joelinton,o,mf,26,29,4,3,0
,,,Joel Ward,o,df,33,5,10,3,0
,,,Sven Botman,x,df,22,5,1,4,0
,,,Jean-Philippe Mateta,x,fw,25,33,3,4,0
,,,Bruno guimaraes,x,mf,25,15,2,5,1
,,,Malcolm Ebiowei,x,mf,19,1,1,5,1
,,Southampton vs Sheff Wed,James Ward-Prowse,o,mf,28,51,11,1,0
,,,Michael Smith,o,mf,31,55,1,1,0
,,,Mohamed Elyounoussi,o,mf,28,35,3,2,0
,,,Barry Bannan,o,mf,33,30,8,2,0
,,,Ibrahima Diallo,o,mf,23,1,3,3,0
,,,Marvin Johnson,o,mf,32,10,2,3,0
,,,Ainsley Maitland-Niles,o,df,25,3,1,4,0
,,,Will Vaulks,o,df,29,21,1,4,0
,,,Adam Armstrong,o,fw,30,17,5,5,0
,,,Lee Gregory,o,fw,34,67,2,5,0
,,,Theo Walcott,o,mf,33,89,3,6,1
,,,Dominic Iorfa,x,df,27,6,5,6,1
,,Derby vs Liverpool,David McGoldrick,o,fw,35,85,1,1,0
,,,Stefan Bajcetic,x,mf,18,1,1,1,0
,,,Conor Hourihane,x,mf,31,43,1,2,0
,,,Alex Oxlade-Chamberlain,o,mf,29,30,6,2,0
,,,Craig Forsyth,x,df,33,7,10,3,0
,,,Roberto Firmino,x,fw,31,145,8,3,0
,,,Louie Sibley,o,df,21,11,4,4,0
,,,Darwin Nunez,o,fw,23,57,2,4,0
,,,Lewis Dobbin,x,mf,19,3,1,5,1
,,,Harvey Elliott,o,mf,19,10,3,5,1
,,Brighton vs Charlton,Pascal Gross,x,mf,31,32,6,1,0
,,,Jayden Stockley,x,fw,29,35,3,1,0
,,,Leandro Trossard,x,mf,28,34,4,2,0
,,,Jake Forster-Caskey,o,mf,28,11,4,2,0
,,,Evan Ferguson,o,fw,18,7,2,3,0
,,,George Dobson,x,mf,25,3,2,3,0
,,,Lewis Dunk,o,df,31,24,10,4,0
,,,Jesurun Rak-Sakyi,x,mf,20,15,1,4,0
,,,Solly March,x,mf,28,18,10,5,0
,,,Corey Blackett-Taylor,o,mf,25,11,2,5,0
,,,Tariq Lamptey,o,df,22,2,3,6,0
,,,Steven Sessegnon,o,df,22,1,1,6,0
,,,Moises Caicedo,x,mf,21,5,2,7,1
,,,Sam Lavelle,o,df,26,3,2,7,1
,,Nottingham Forest vs Wolves,Sam Surridge,x,fw,24,20,2,1,0
,,,Ruben Neves,x,mf,25,29,6,1,0
,,,Remo Freuler,o,mf,30,25,1,2,0
,,,Daniel Podence,o,mf,27,19,4,2,0
,,,Joe Worrall,o,df,25,4,6,3,0
,,,Matheus Nunes,o,mf,24,8,1,3,0
,,,Morgan Gibbs-White,o,mf,22,15,7,4,0
,,,Matheus Cunha,o,mf,23,25,1,4,0
,,,Jack Collback,o,mf,33,17,5,5,1
,,,Joe Hodge,x,mf,20,0,1,5,1
Copa del ray,2020-2021,Fuenlabrada vs Mallorca,Alex Mula,o,mf,24,29,1,1,0
,,,Salva Sevilla,o,mf,36,59,4,1,0
,,,Aboubakary Kant?,o,fw,26,49,1,2,0
,,,Lago Junior,o,mf,30,72,6,2,0
,,,Randy Nteka,o,mf,23,22,4,3,0
,,,Murilo Costa,o,mf,26,19,1,3,0
,,,Francisco Feuillassier,x,mf,22,7,1,4,0
,,,Abd?n Prats,o,fw,28,79,4,4,0
,,,Adri?n Di?guez,o,df,24,3,2,5,0
,,,Braian Cufr?,x,df,24,4,1,5,0
,,,Path? Ciss,o,mf,26,6,2,6,0
,,,Fran G?mez,o,df,29,28,3,6,0
,,,Alejandro Sotillos,o,df,22,3,3,7,0
,,,Franco Russo,o,df,26,6,2,7,0
,,,Antonio Glauder,o,df,25,5,3,8,1
,,,Antonio S?nchez,x,mf,23,13,1,8,1
,,Pena Deportiva vs Sabadell,Christian Cruz,o,df,28,6,3,1,0
,,,Gorka Guruzeta,x,fw,24,48,1,1,0
,,,Marc de Val,o,mf,30,2,4,2,0
,,,Xavi Boniquet,x,mf,30,36,2,2,0
,,,Carlos Gilbert,x,fw,21,14,1,3,0
,,,N?stor Querol,x,mf,33,44,3,3,0
,,,Carlos Cristeto,x,mf,26,18,3,4,1
,,Pontevedra vs Cadiz,Xisco Campos,o,df,38,11,1,1,0
,,,Filip Malba?i?,o,fw,28,44,1,1,0
,,,Rufo S?nchez,o,fw,34,108,1,2,0
,,,Jorge Pombo,o,mf,26,12,2,2,0
,,,Oier Calvillo,o,mf,24,19,1,3,0
,,,Anthony Lozano,o,fw,27,81,1,3,0
,,,Alejandro Gonz?lez Mara??n,o,fw,31,22,5,4,0
,,,Carlos Akapo,o,df,27,1,2,4,0
,,,V?ctor V?zquez,x,df,31,9,3,5,1
,,,Bobby Adekanye,o,fw,21,1,1,5,1
,,Fuenlabrada vs Levante,Mikel Iribas,o,df,32,15,5,1,0
,,,Roger Mart?,o,fw,29,77,6,1,0
,,,Pinchi,o,fw,24,18,1,2,0
,,,Gonzalo Melero,o,mf,26,35,2,2,0
,,,Borja Garc?s,x,fw,21,14,1,3,0
,,,Sergio Le?n,o,fw,31,112,2,3,0
,,,Crist?bal M?rquez,x,mf,36,46,5,4,1
,,,?scar Duarte,o,df,31,14,2,4,1
,,Almeria vs Osasuna,Sergio Akieme,o,df,23,2,1,1,0
,,,Roberto Torres,o,mf,31,79,10,1,0
,,,Jos? Corpas,x,fw,29,92,3,2,0
,,,Jon Moncayola,o,mf,22,3,3,2,0
,,,Umar Sadiq,o,fw,23,6,1,3,0
,,,Jonathan Calleri,o,fw,27,49,1,3,0
,,,Largie Ramazani,o,fw,19,4,1,4,0
,,,Manu S?nchez,x,df,20,0,1,4,0
,,,C?sar de la Hoz,o,mf,28,7,3,5,0
,,,Kike Barja,o,fw,23,43,5,5,0
,,,Jo?o Carvalho,o,mf,23,15,1,6,1
,,,David Garc?a,x,df,26,11,7,6,1
,,Real Betis vs Athletic Bilbao,A?ssa Mandi,o,df,29,21,5,1,0
,,,Ra?l Garc?a,o,mf,34,106,6,1,0
,,,Sergio Canales,x,mf,29,40,3,2,0
,,,I?aki Williams,o,fw,26,73,7,2,0
,,,Juanmi,x,fw,27,45,2,3,0
,,,Jon Morcillo,o,fw,22,25,1,3,0
,,,Yuri Berchiche,o,df,30,18,3,4,1
,2021-2022,Aguilas vs Almeria,Dinko Treboti?,o,mf,31,23,1,1,0
,,,Largie Ramazani,o,fw,20,17,2,1,0
,,,Alejandro Jos? P?rez L?pez,x,fw,20,0,1,2,0
,,,Curro S?nchez,o,mf,25,41,1,2,0
,,,Ram?n Arcas,o,mf,29,4,2,3,0
,,,Francisco Portillo,o,mf,31,15,1,3,0
,,,Javier P?rez Carabe,x,df,22,3,1,4,0
,,,Sam? Costa,o,mf,21,3,1,4,0
,,,C?sar de la Hoz,o,mf,29,7,4,5,1
,,Calahorra vs Atletico Baleares,Manu Ramirez,o,mf,25,13,1,1,0
,,,Jes?s ?lvarez Aguado,o,mf,22,1,2,1,0
,,,Vinicius Tanque,o,fw,26,12,2,2,0
,,,Imanol Sarriegi,o,mf,26,10,1,2,0
,,,Manel Mart?nez,o,fw,29,69,2,3,0
,,,David Grande,x,fw,30,104,1,3,0
,,,Armando Shashoua,x,mf,21,4,2,4,0
,,,David Soto,o,df,28,1,1,4,0
,,,Ignasi Vilarrasa,o,df,22,6,1,5,0
,,,Eneko Zabaleta,x,df,29,9,1,5,0
,,,Luca Ferrone,o,df,28,10,3,6,1
,,Guijuelo vs Rayo Vallecano,Alberto Rodr?guez Ramos,x,mf,29,0,1,1,0
,,,Mario Su?rez,x,mf,34,31,4,1,0
,,,Alex Caramelo Carrasco,o,fw,26,1,1,2,0
,,,Isi Palaz?n,o,fw,27,44,3,2,0
,,,Carlos Rub?n,o,mf,38,53,5,3,0
,,,?scar Trejo,o,mf,33,63,5,3,0
,,,Toti,o,mf,34,46,1,4,0
,,,Santi Comesa?a,o,mf,25,10,6,4,0
,,,Crist?bal Gil,x,mf,29,27,3,5,1
,,,Sergi Guardiola,o,fw,30,81,1,5,1
,,Linares Deportivo vs Gimnastic,Alejandro Melendez,o,mf,22,2,1,1,0
,,,Carlos Albarran,o,df,27,9,3,1,0
,,,Fran Lara,o,mf,28,10,6,2,0
,,,Aythami Artiles,x,df,35,28,1,2,0
,,,Nando Copete,x,fw,29,23,1,3,0
,,,Pol Ballesteros,o,fw,25,12,3,3,0
,,,Alvaro Barbosa,o,df,28,22,1,4,0
,,,Joan Oriol,o,df,35,10,2,4,0
,,,Hugo Diaz,o,fw,33,94,2,5,0
,,,Edgar Hernandez,o,fw,34,68,1,5,0
,,,Josema Gomez,o,df,30,6,4,6,0
,,,Jannick Buyla,o,mf,23,3,1,6,0
,,,Ruben Sanchildrian,o,fw,22,9,2,7,1
,,,Javi Ribelles,x,mf,29,12,2,7,1
,,Union Adavare vs Lugo,Julio Cidoncha,x,mf,33,7,1,1,0
,,,Maru Barreiro,o,fw,35,93,4,1,0
,,,Dani Ramos,x,df,27,2,2,2,0
,,,Carlos Pita,x,mf,37,38,12,2,0
,,,Alvaro Mayorga,o,df,22,3,1,3,0
,,,Joselu Moreno,o,fw,30,83,3,3,0
,,,Alberto Alburquerque,o,fw,30,74,1,4,0
,,,Hugo Rama,o,mf,25,12,3,4,0
,,,Fernando Calleja,o,mf,32,2,1,5,1
,,,Edu Campabadal,o,df,28,1,5,5,1
,,Sevilla vs Andratx,Rafa Mir,o,fw,24,75,1,1,0
,,,Carlos Lorente,x,df,22,0,2,1,0
,,,Nemanja Gudelj,o,df,30,39,3,2,0
,,,Gerardo Bonet,o,mf,23,2,2,2,0
,,,Oscar Rodriguez,x,mf,23,26,2,3,0
,,,Pau Pomar,o,df,33,5,1,3,0
,,,Ivan Romero,o,fw,20,17,2,4,0
,,,Pep Vidal,o,df,24,3,1,4,0
,,,Luismi Cruz,o,fw,20,8,1,5,0
,,,Fernando Carrasco,o,fw,21,0,1,5,0
,,,Papu Gomez,o,fw,33,113,2,6,0
,,,Damla Ramos,o,df,30,4,1,6,0
,,,Thomas Delaney,o,mf,30,37,1,7,1
,,,Gaspar Alemany,x,df,31,0,1,7,1
,,Levante vs Alcoyano,Pepelu,x,mf,23,17,2,1,0
,,,Lillo Castellano,x,df,32,0,1,1,0
,,,Jose Luis Morales,o,fw,34,80,9,2,0
,,,Andy Escudero,o,fw,22,5,1,2,0
,,,Roger Marti,x,fw,30,123,9,3,0
,,,Imanol Garcia,o,mf,26,5,1,3,0
,,,Enis Bardhi,x,mf,26,46,5,4,1
,,,Carlos Blanco,o,df,25,7,1,4,1
,,Fuenlabrada vs Ud Sanse,Mikel Iribas,o,df,33,13,6,1,0
,,,Arturo Rodriguez,o,fw,32,77,2,1,0
,,,Franco Soldano,x,fw,27,29,1,2,0
,,,Dani Molina,x,mf,25,10,1,2,0
,,,Iban Salvador,x,fw,26,34,3,3,0
,,,Jorge Jimenez,o,mf,22,1,2,3,0
,,,Anderson Cordeiro,o,fw,23,12,1,4,0
,,,Mario Gonzalez,o,mf,23,0,2,4,0
,,,Adrian Dieguez,o,df,25,5,2,5,0
,,,Borja Martinez,x,fw,27,22,1,5,0
,,,Ruben Pulido,o,df,21,2,2,6,0
,,,Fer Ruiz,o,fw,30,40,5,6,0
,,,Cheick Timite,o,fw,24,14,1,7,1
,,,Alvaro Moreno,x,df,27,8,1,7,1
,,Ponferradina vs RCD Espanyol,Agus Medina,o,mf,27,26,1,1,0
,,,Adrian Embarba,o,fw,29,44,3,1,0
,,,Kuki Zalazar,x,fw,23,27,1,2,0
,,,Keidi Bare,o,mf,24,5,2,2,0
,,,Saul Crespo,x,mf,25,1,5,3,0
,,,Fran Merida,o,mf,31,31,2,3,0
,,,Kike Saverio,x,fw,22,10,1,4,1
,,Sporting Gijon vs Cadiz,Fran Villalba,x,mf,23,22,1,1,0
,,,Alex Fernandez,o,mf,29,42,5,1,0
,,,Pedro Diaz,x,mf,23,17,7,2,0
,,,Alvaro Negredo,o,fw,36,251,2,2,0
,,,Vasyl Kravets,o,df,24,1,1,3,0
,,,Alberto Perea,o,fw,31,50,5,3,0
,,,Victor Campuzano,o,fw,24,30,2,4,1
,,,Santiago Arzamendia,o,df,23,9,1,4,1
,,Valencia vs Real Batis,Carlos Soler,o,mf,24,40,8,1,0
,,,Wilian Jose,o,fw,30,113,1,1,0
,,,Uros Racic,o,mf,23,10,3,2,0
,,,Joaquin,o,fw,40,111,13,2,0
,,,Goncalo Guedes,o,fw,25,61,5,3,0
,,,Andres Guardado,o,mf,35,40,5,3,0
,,,Yunus Musah,x,mf,19,9,3,4,0
,,,Cristian Tello,o,fw,30,67,5,4,0
,,,Jose Gaya,o,df,26,12,11,5,1
,,,Juan Miranda,o,df,21,5,2,5,1
,2022-2023,Gernika vs Leganes,Giovanni Navarro,o,fw,23,24,1,1,0
,,,Juan Munoz,o,fw,27,69,3,1,0
,,,Gorka Agirre,o,mf,22,3,1,2,0
,,,Jose Manuel Arnalz,o,fw,27,59,5,2,0
,,,Lamin Juwara,o,fw,22,2,1,3,0
,,,Dani Raba,o,fw,27,23,1,3,0
,,,Urtzi Iriondo,o,df,27,2,1,4,0
,,,Seydouba Cisse,o,mf,21,8,2,4,0
,,,Koldo Berasaluze,o,df,30,12,2,5,0
,,,Ruben Pardo,o,mf,30,16,3,5,0
,,,Yeray Carpio,o,mf,19,0,1,6,1
,,,Naim Garcia,x,fw,20,4,2,6,1
,,Penya Deportiva vs Malaga cf,Cristian Cruz,o,df,29,4,5,1,0
,,,Pablo Chavarria,o,fw,34,85,3,1,0
,,,Carlos Cristeto,o,mf,28,4,4,2,0
,,,Fran Sol,o,fw,30,104,1,2,0
,,,Loren Sanchez,o,fw,19,2,1,3,0
,,,Esteban Burgos,o,df,30,14,1,3,0
,,,Carlos Badal,o,df,23,2,2,4,0
,,,Genaro Rodriguez,o,mf,24,7,2,4,0
,,,Christian Albert,o,fw,22,3,1,5,0
,,,Dani Lorenzo,o,mf,19,3,2,5,0
,,,Chema Moreno,o,fw,30,30,1,6,0
,,,Haitam Abaida,o,fw,20,1,3,6,0
,,,Diego Camara,o,df,24,1,2,7,0
,,,Alfred N'Diaye,o,df,32,26,1,7,0
,,,Ton Ripoll,x,fw,24,8,2,8,1
,,,Lumor Agbenyenu,o,df,26,4,1,8,1
,,Huesca vs Juventud,Juan Villar,o,fw,34,123,1,1,0
,,,Javi Amaya,o,mf,32,10,3,1,0
,,,Joaquin Munoz,x,fw,23,17,4,2,0
,,,Javi Forjan,o,fw,27,4,1,2,0
,,,Cristian Salvador,o,mf,28,10,2,3,0
,,,Alex Machuca,o,mf,24,5,1,3,0
,,,Ignasi Vilarrasa,x,df,23,4,1,4,1
,,,Miguel Garcia,o,df,26,2,2,4,1
,,Atletico Paso vs Real Murcia,Armiche Ortega,x,fw,34,28,2,1,0
,,,Miku,x,fw,37,123,1,1,0
,,,Alberto Oca,o,fw,32,26,1,2,0
,,,Zeidane Inoussa,o,fw,20,6,2,2,0
,,,Joan Piera,x,fw,26,14,1,3,0
,,,Arnau Sola,o,df,19,0,1,3,0
,,,Alex Cruz,x,df,26,0,2,4,0
,,,Arnau Ortiz,x,fw,21,9,1,4,0
,,,Pelon Cabrera,o,df,27,1,1,5,0
,,,Pablo Ganet,x,mf,28,12,2,5,0
,,,Eneko Zabaleta,o,df,30,10,1,6,1
,,,Dani Vega,x,fw,25,19,1,6,1
,,Atletico Baleares vs Arnedo,Kevin Sibille,x,df,24,1,1,1,0
,,,Jorge Chacon,x,df,33,1,1,1,0
,,,Inaki Olaotua,x,df,29,7,3,2,0
,,,Alex Maestresalas,x,df,30,8,1,2,0
,,,Miguelete,o,fw,21,7,1,3,0
,,,Sergio Benito,o,fw,25,2,1,3,0
,,,Dioni,o,fw,33,179,2,4,0
,,,Guillermo Amelivia,o,df,21,2,1,4,0
,,,Kaxe,o,fw,28,28,1,5,0
,,,Michel Gonzalez,o,mf,27,3,1,5,0
,,,Victor Pastrana,x,fw,26,20,2,6,1
,,,Ivan Pascual,o,mf,23,0,2,6,1
,,Coruxo vs Eldense,Andriu,x,df,32,15,2,1,0
,,,Cristian Lopez,o,fw,33,115,1,1,0
,,,Toni Dovale,o,fw,32,27,1,2,0
,,,Alex Martinez,o,df,32,16,1,2,0
,,,David Anon,o,fw,33,55,2,3,0
,,,Christian Montes,o,mf,25,22,1,3,0
,,,Anton de Vicente,x,mf,33,22,9,4,1
,,,Sergio Ortuno,o,mf,23,5,2,4,1
,,Alcorcon vs Ourense,Christian Borrego,o,fw,26,41,1,1,0
